Country,Health.GDP%,Health.Expenditure$,Physiciansper1000people,Nurses_Midwivesper1000people,Specialist.Surgeonsper10000people,Registered.Births%,Registered.Deaths%
Thailand,3.7,221.9,0.8,3,13.1,100,NA
East Timor,4,79.9,0.7,1.7,0.9,60.4,NA
Togo,6.6,38.8,0,0.3,0.5,78,NA
Tonga,5.3,203.2,0.5,3.9,14,93,NA
Trinidad and Tobago,6.5,1063.8,2.7,3.5,30.9,97,85
Tunisia,7,256.5,1.3,2.6,11.5,99,37
Turkey,4.3,468.6,1.8,2.6,47.6,99,78
Turkmenistan,6.6,422.8,2.2,4.6,58.8,100,NA
Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA
Tuvalu,15.5,507.4,0.9,3.8,26.1,NA,NA
Uganda,6.2,37.6,0.1,0.6,1.1,32.2,NA
Ukraine,6.7,141.2,3,7.1,86.6,100,99
United Arab Emirates,3.5,1323.1,2.4,5.6,NA,100,87
United Kingdom,9.8,3958,2.8,8.3,133.3,100,100
United States,17.1,9869.7,2.6,8.6,54.7,100,98
Uruguay,9.1,1379.1,5,1.9,38.9,100,99
Uzbekistan,6.3,135.1,2.4,12.1,50.4,NA,NA
Vanuatu,3.7,109.8,0.2,1.4,3.2,43,NA
Venezuela,3.2,1578.4,NA,NA,18.1,81,100
Vietnam,5.7,122.8,0.8,1.4,NA,96,NA
Virgin Islands,NA,NA,NA,NA,NA,NA,NA
Palestine,NA,NA,NA,NA,NA,96,NA
Yemen,5.6,72,0.3,0.7,0.8,30.7,NA
Zambia,4.5,56.5,0.1,0.9,1.5,11.3,NA
Zimbabwe,9.4,93.9,0.1,1.2,1.6,38,NA
